title,author,genres,available
Squire,Tamora Pierce (Goodreads Author),Fantasy,True
Changes,Jim Butcher (Goodreads Author),Fantasy,True
Syrian Brides,Anna Halabi (Goodreads Author),Short Stories,True
The Day Jesus Rode Into Croydon,Kirk St Moritz (Goodreads Author),Fiction,True
Bel-Ami,"Guy de Maupassant, Douglas Parmée (translator), Alev Özgüner",Classics,True
Batman: Year One,"Frank Miller (Writer), David Mazzucchelli (Illustrator), Richmond Lewis (Colorist), Todd Klein (Letterer), Dennis O'Neil (Introduction)",Comics,True
Wintersmith,Terry Pratchett,Fantasy,True
حول العالم في 200 يوم,أنيس منصور,Travel,True
رباعيات صلاح جاهين,"صلاح جاهين, يحيى حقي (تقديم)",Poetry,True
Blood in the Skies,G.D. Falksen (Goodreads Author),Steampunk,True
الأسود يليق بك,"أحلام مستغانمي, Ahlam Mosteghanemi (Goodreads Author)",Novels,True
The Mote in God's Eye,"Larry Niven, Jerry Pournelle",Science Fiction,True
North of Beautiful,Justina Chen (Goodreads Author),Young Adult,True
Calvin and Hobbes,"Bill Watterson, G.B. Trudeau (Foreword)",Comics,True
The Drowned World,"J.G. Ballard, Martin Amis (Introduction)",Science Fiction,True
The Rise of Mallory,Roy Huff (Goodreads Author),Fantasy,True
Mack,Mimi Jean Pamfiloff (Goodreads Author),Paranormal,True
The Chronicle of Sapta Sindhu,Aporva Kala (Goodreads Author),War,True
The Woman Who Rides Like a Man,Tamora Pierce (Goodreads Author),Fantasy,True
The Killer Inside Me,Jim Thompson,Fiction,True
Pilgrim at Tinker Creek,Annie Dillard,Nonfiction,True
الفيل الأزرق,أحمد مراد (Goodreads Author),Novels,True
"The Walking Dead, Vol. 1: Days Gone Bye","Robert Kirkman, Tony Moore (Illustrator), Andreas Mergenthaler, Frank Darabont (Teleplay), Charles Adlard, Sina Grace (Goodreads Author) (Editor), Hardy Hellstern (Editor), Charlie Adlard (Illustrator), more…",Graphic Novels,True
A Fraction of the Whole,Steve Toltz,Fiction,True
Lodestar,Shannon Messenger (Goodreads Author),Fantasy,True
The Darkest Hour,Erin Hunter,Fantasy,True
Pachinko,Min Jin Lee,Historical Fiction,True
Ordinary People,Judith Guest,Fiction,True
Homage to Catalonia,"George Orwell, Lionel Trilling (Introduction)",History,True
My Blood Approves,Amanda Hocking (Goodreads Author),Vampires,True
Beneath a Scarlet Sky,Mark T. Sullivan (Goodreads Author),Historical Fiction,True
Ocean Sea,"Alessandro Baricco, Alastair McEwen (Translator)",Fiction,True
Notice Me,Emem Uko (Goodreads Author),Contemporary,True
An Instance of the Fingerpost,Iain Pears,Historical Fiction,True
Sobre héroes y tumbas,Ernesto Sabato,Fiction,True
The Informers,Bret Easton Ellis,Fiction,True
You,Caroline Kepnes (Goodreads Author),Thriller,True
The Room,Hubert SelJr.,Fiction,True
La catedral del mar,Ildefonso Falcones,Historical Fiction,True
"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan (Goodreads Author), Pia Guerra (Illustrator), Goran Sudžuka (Illustrator), José Marzán Jr. (Illustrator)",Graphic Novels,True
Kiss an Angel,Susan Elizabeth Phillips (Goodreads Author),Romance,True
பொன்னியின் செல்வன்,Kalki,Historical Fiction,True
Shades of Earth,Beth Revis (Goodreads Author),Young Adult,True
The Rose Society,Marie Lu (Goodreads Author),Fantasy,True
United We Spy,Ally Carter (Goodreads Author),Young Adult,True
Twice Bitten,Chloe Neill (Goodreads Author),Urban Fantasy,True
Wir Kinder vom Bahnhof Zoo,"Christiane F., Kai Hermann, Horst Rieck",Nonfiction,True
Paradise,Judith McNaught,Romance,True
Airhead,Meg Cabot (Goodreads Author),Young Adult,True
The Dovekeepers,Alice Hoffman (Goodreads Author),Historical Fiction,True
Relic,"Douglas Preston (Goodreads Author), Lincoln Child",Horror,True
No Longer Human,"Osamu Dazai, Donald Keene (Translator; Introduction)",Fiction,True
Revolution,Jennifer Donnelly (Goodreads Author),Historical Fiction,True
The First Man in Rome,Colleen McCullough,Historical Fiction,True
The Secret of the Nagas,Amish Tripathi (Goodreads Author),Fiction,True
Unwifeable: A Memoir,Mandy Stadtmiller (Goodreads Author),Memoir,True
Succubus on Top,Richelle Mead (Goodreads Author),Urban Fantasy,True
Grave Peril,Jim Butcher (Goodreads Author),Fantasy,True
Rodrick Rules,Jeff Kinney (Goodreads Author),Fiction,True
Growth of the Soil,Knut Hamsun,Fiction,True
Adjustment Day,Chuck Palahniuk (Goodreads Author),Fiction,True
Undeniable,Madeline Sheehan (Goodreads Author),Romance,True
The Hating Game,Sally Thorne (Goodreads Author),Romance,True
Fool,Christopher Moore (Goodreads Author),Humor,True
Earth Abides,George R. Stewart,Science Fiction,True
The Invention of Wings,Sue Monk Kidd (Goodreads Author),Historical Fiction,True
"The Dark Tower Series Collection: The Gunslinger, The Drawing of the Three, The Waste Lands, Wizard and Glass, Wolves of the Calla, Song of Susannah, The Dark Tower",Stephen King (Goodreads Author),Fantasy,True
The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,Historical Fiction,True
Daemon,Daniel Suarez (Goodreads Author),Science Fiction,True
The Confusion,Neal Stephenson (Goodreads Author),Fiction,True
"White Witch, Black Curse",Kim Harrison (Goodreads Author),Urban Fantasy,True
Tarzan of the Apes,Edgar Rice Burroughs,Classics,True
The Name of the Star,Maureen Johnson (Goodreads Author),Young Adult,True
"Farewell, My Lovely",Raymond Chandler,Mystery,True
Petals on the Wind,V.C. Andrews,Fiction,True
For a Few Demons More,Kim Harrison (Goodreads Author),Urban Fantasy,True
The Island of Doctor Moreau,H.G. Wells,Classics,True
In Her Shoes,Jennifer Weiner (Goodreads Author),Chick Lit,True
The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal (Illustrator)",Childrens,True
Making Money,Terry Pratchett,Fantasy,True
Genghis: Birth of an Empire,Conn Iggulden,Historical Fiction,True
The Leopard,"Giuseppe Tomasi di Lampedusa, Archibald Colquhoun (Translator)",Fiction,True
Mrs. Mike,"Benedict Freedman, Nancy Freedman",Historical Fiction,True
The Mad Ship,Robin Hobb (Goodreads Author),Fantasy,True
Out of the Dust,Karen Hesse,Historical Fiction,True
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,Graphic Novels,True
Blood of Elves,"Andrzej Sapkowski, Danusia Stok (Translator)",Fantasy,True
UnEnchanted,Chanda Hahn (Goodreads Author),Fantasy,True
Persona normal,Benito Taibo,Young Adult,True
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,Nonfiction,True
The Tombs of Atuan,"Ursula K. Le Guin, Margot Paronis (Translator)",Fantasy,True
"That Was Then, This Is Now",S.E. Hinton (Goodreads Author),Young Adult,True
Cell,Stephen King (Goodreads Author),Horror,True
Of Poseidon,Anna Banks (Goodreads Author),Fantasy,True
Tampa,Alissa Nutting (Goodreads Author),Fiction,True
Dueling Fates,Stephanie M. Allen (Goodreads Author),Sconosciuto,True
"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,Classics,True
Two Boys Kissing,David Levithan (Goodreads Author),Young Adult,True
Mark of the Lion Trilogy,Francine Rivers (Goodreads Author),Christian Fiction,True
The System of the World,Neal Stephenson (Goodreads Author),Fiction,True
Keeping the Moon,Sarah Dessen (Goodreads Author),Young Adult,True
The Eternity Cure,Julie Kagawa (Goodreads Author),Vampires,True
What Happened to Goodbye,Sarah Dessen (Goodreads Author),Young Adult,True
Sweet Dreams,Kristen Ashley (Goodreads Author),Romance,True
The Comfort of Strangers,Ian McEwan,Fiction,True
A Grimm Warning,"Chris Colfer, Brandon Dorman (Illustrator)",Fantasy,True
Austenland,Shannon Hale (Goodreads Author),Romance,True
Erak's Ransom,John Flanagan,Fantasy,True
A Merciful Secret,Kendra Elliot (Goodreads Author),Mystery,True
Slow Brewing Tea,Randy Loubier (Goodreads Author),Fiction,True
The Crimson Crown,Cinda Williams Chima (Goodreads Author),Fantasy,True
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,Nonfiction,True
Blood of the Fold,Terry Goodkind,Fantasy,True
City of Golden Shadow,Tad Williams (Goodreads Author),Fantasy,True
The Motorcycle Diaries: Notes on a Latin American Journey,"Ernesto Che Guevara, Aleida Guevara March (Translator)",Nonfiction,True
A Constellation of Vital Phenomena,Anthony Marra (Goodreads Author),Fiction,True
Children of Dune,Frank Herbert,Science Fiction,True
'Tis,Frank McCourt,Nonfiction,True
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg (Goodreads Author),Nonfiction,True
The Death of Bunny Munro,Nick Cave,Fiction,True
Mistborn Trilogy Boxed Set,Brandon Sanderson (Goodreads Author),Fantasy,True
Without Remorse,Tom Clancy,Fiction,True
Finding Audrey,Sophie Kinsella (Goodreads Author),Young Adult,True
Use of Weapons,Iain M. Banks,Science Fiction,True
Reunion,"Jenny Carroll, Meg Cabot (Goodreads Author)",Young Adult,True
The Hostile Hospital,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",Fiction,True
Poison Princess,Kresley Cole (Goodreads Author),Young Adult,True
Forever Too Far,Abbi Glines (Goodreads Author),New Adult,True
The Necromancer,Michael Scott (Goodreads Author),Fantasy,True
In the Time of the Butterflies,Julia Alvarez (Goodreads Author),Historical Fiction,True
Save Yourself,Kelly Braffet (Goodreads Author),Fiction,True
Lord of Light,Roger Zelazny,Science Fiction,True
Mystical Trash,Mary Ramsey (Goodreads Author),Contemporary,True
The Memoirs of Sherlock Holmes,"Arthur Conan Doyle, Christopher Roden (Editor), Owen Dudley Edwards (Series Editor)",Classics,True
Anne's House of Dreams,L.M. Montgomery,Classics,True
The Grifters,Jim Thompson,Fiction,True
Gormenghast,Mervyn Peake,Fantasy,True
The Secret Hour,Scott Westerfeld (Goodreads Author),Young Adult,True
All Over But the Shoutin',Rick Bragg,Memoir,True
The Gospel According to Jesus Christ,"José Saramago, Giovanni Pontiero (Translator)",Fiction,True
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson (Goodreads Author),Nonfiction,True
The Warrior Heir,Cinda Williams Chima (Goodreads Author),Fantasy,True
Vain,Fisher Amelie (Goodreads Author),Romance,True
Losing It,Cora Carmack (Goodreads Author),Romance,True
Destined,"P.C. Cast (Goodreads Author) (co-author), Kristin Cast (Goodreads Author) (co-author)",Vampires,True
Pyramids,Terry Pratchett,Fantasy,True
Lectures on Faith,"Joseph Smith Jr., Sidney Rigdon",Religion,True
Touch of Frost,Jennifer Estep (Goodreads Author),Young Adult,True
Witch & Wizard,"James Patterson (Goodreads Author), Gabrielle Charbonnet, Emily Raymond",Fantasy,True
Confess,Colleen Hoover (Goodreads Author),Romance,True
Ordeal,Tatyana K. Varenko (Goodreads Author),Vampires,True
The Carnivorous Carnival,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",Fiction,True
Piercing the Darkness,Frank E. Peretti,Christian Fiction,True
Jingo,Terry Pratchett,Fantasy,True
Queen of the Darkness,Anne Bishop,Fantasy,True
ESV Study Bible,"Anonymous, Lane T. Dennis (Editor), Wayne Grudem (Editor)",Christian,True
Go Set a Watchman,Harper Lee,Fiction,True
The Nanny Song,Misty Mount (Goodreads Author),Fiction,True
History of the Peloponnesian War,"Thucydides, Rex Warner (Translator), Moses I. Finley (Introduction/Notes)",History,True
I Dream of Yellow Kites,Retta Bono (Goodreads Author) (Editor),Young Adult,True
High-Rise,J.G. Ballard,Fiction,True
The Magician,Michael Scott (Goodreads Author),Fantasy,True
Labyrinth,Kate Mosse,Historical Fiction,True
Phantom,Susan Kay,Fiction,True
The Complete Fairy Tales,Oscar Wilde,Classics,True
Trust: A New Beginning,Cristiane Serruya,Romance,True
The Jungle Book,Rudyard Kipling,Classics,True
Donde los árboles cantan,Laura Gallego García,Fantasy,True
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,Fantasy,True
"Where'd You Go, Bernadette",Maria Semple,Fiction,True
Hunting Ground,Patricia Briggs,Urban Fantasy,True
Thinner,"Richard Bachman (Pseudonym), Stephen King (Goodreads Author)",Horror,True
The Kings of Clonmel,John Flanagan,Fantasy,True
Prozac Nation,Elizabeth Wurtzel,Nonfiction,True
The Lunatic Cafe,Laurell K. Hamilton (Goodreads Author),Urban Fantasy,True
Any Human Heart,William Boyd,Fiction,True
Lord Loss,Darren Shan (Goodreads Author),Horror,True
Dare You To,Katie McGarry (Goodreads Author),Romance,True
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,Young Adult,True
The Program,Suzanne Young (Goodreads Author),Young Adult,True
"I, Claudius/Claudius the God",Robert Graves,Historical Fiction,True
The Art of Loving,"Erich Fromm, Peter D. Kramer (Introduction), Lê Phương Anh (Translator), Rainer Funk (Afterword)",Psychology,True
The Samurai's Garden,Gail Tsukiyama,Historical Fiction,True
Proven Guilty,Jim Butcher (Goodreads Author),Fantasy,True
Oscar et la dame rose,Éric-Emmanuel Schmitt,Fiction,True
Sweet Reckoning,Wendy Higgins (Goodreads Author),Young Adult,True
The Well House II: The Revenge,M.S. Matassa (Goodreads Author),Fiction,True
Falling into You,Jasinda Wilder (Goodreads Author),Romance,True
Dark Rooms,Lili Anolik (Goodreads Author),Mystery,True
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,Nonfiction,True
Winter's Tale,Mark Helprin,Fiction,True
Resurrection,"Leo Tolstoy, Louise Maude (Translator), Aylmer Maude (Translator)",Classics,True
The First Fifteen Lives of Harry August,Claire North,Science Fiction,True
The Devil's Deceptions: Is There Life After Death?,Ginger Baum,Sconosciuto,True
Ethereal Fury,Jessica O'Gorek (Goodreads Author),Paranormal,True
Struck By Lightning: The Carson Phillips Journal,Chris Colfer,Young Adult,True
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Nonfiction,True
And the Ass Saw the Angel,Nick Cave,Fiction,True
Forever,Pete Hamill,Fiction,True
The Poetry of Pablo Neruda,"Pablo Neruda, Ilan Stavans (Editor)",Poetry,True
I Hunt Killers,Barry Lyga (Goodreads Author),Young Adult,True
The Lying Game,Sara Shepard (Goodreads Author),Young Adult,True
Snow Country,"Yasunari Kawabata, Edward G. Seidensticker (Translator)",Fiction,True
Verity,Colleen Hoover (Goodreads Author),Thriller,True
Caressed by Ice,Nalini Singh (Goodreads Author),Paranormal Romance,True
Winter's Heart,Robert Jordan,Fantasy,True
The Waste Land and Other Poems,T.S. Eliot,Poetry,True
Cruel Beauty,Rosamund Hodge (Goodreads Author),Fantasy,True
Batman: The Long Halloween,"Jeph Loeb, Tim Sale (Illustrator), Gregory Wright (Colorist), Richard Starkings (Letterer)",Comics,True
Kitchen,"Banana Yoshimoto, Megan Backus (Translator)",Fiction,True
The Age of Miracles,Karen Thompson Walker (Goodreads Author),Fiction,True
Fantastic Mr. Fox,"Roald Dahl, Quentin Blake (Illustrator)",Childrens,True
Audition,"Ryū Murakami, Ralph McCarthy (Translator)",Horror,True
The Kindly Ones,"Jonathan Littell, Charlotte Mandell (Translator)",Fiction,True
The Cost of Discipleship,Dietrich Bonhoeffer,Christian,True
The Fall of Five,Pittacus Lore,Young Adult,True
My Favorite Mistake,Chelsea M. Cameron (Goodreads Author),New Adult,True
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,Fiction,True
Off the Grid: The Catalyst,Brian Courtney (Goodreads Author),New Adult,True
Eight Cousins,Louisa May Alcott,Classics,True
The Queen of Attolia,Megan Whalen Turner (Goodreads Author),Fantasy,True
Lost in the Crowd,M.J. Santley (Goodreads Author),Fiction,True
Finnegans Wake,James Joyce,Fiction,True
Backstage Pass,Olivia Cunning (Goodreads Author),Romance,True
A Fire Upon the Deep,Vernor Vinge,Science Fiction,True
Welcome to the Monkey House,"Kurt Vonnegut Jr., Курт Воннегут",Fiction,True
In The Afterlight,Alexandra Bracken (Goodreads Author),Young Adult,True
Jemima J,Jane Green (Goodreads Author),Romance,True
الرحيق المختوم,Safiur Rahman Mubarakpuri,Islam,True
Bloody Jack,L.A. Meyer,Historical Fiction,True
Haunted,Meg Cabot (Goodreads Author),Young Adult,True
Into the Darkest Corner,Elizabeth Haynes (Goodreads Author),Thriller,True
Elixir,Jennifer L. Armentrout (Goodreads Author),Young Adult,True
The Last Juror,John Grisham (Goodreads Author),Fiction,True
The Night Angel Trilogy,Brent Weeks (Goodreads Author),Fantasy,True
Leviathan Wakes,James S.A. Corey (Goodreads Author),Science Fiction,True
The Blinding Knife,Brent Weeks (Goodreads Author),Fantasy,True
Here Be Dragons,Sharon Kay Penman (Goodreads Author),Historical Fiction,True
The Dead-Tossed Waves,Carrie Ryan (Goodreads Author),Young Adult,True
Forsaken,Jana Oliver (Goodreads Author),Young Adult,True
Breathing Lessons,Anne Tyler (Goodreads Author),Fiction,True
The Darkest Kiss,Gena Showalter (Goodreads Author),Paranormal Romance,True
It's Not Summer Without You,Jenny Han (Goodreads Author),Young Adult,True
The Marriage Bargain,Jennifer Probst (Goodreads Author),Romance,True
The Art of Fielding,Chad Harbach (Goodreads Author),Fiction,True
Playing with Fire,Derek Landy,Fantasy,True
Deadly Little Secret,Laurie Faria Stolarz (Goodreads Author),Young Adult,True
Selected Poems,"Robert Frost, Gail Harvey (Introduction)",Poetry,True
Goodbye to All That,Robert Graves,Nonfiction,True
The Outsider,Stephen King (Goodreads Author),Horror,True
The Book of Laughter and Forgetting,"Milan Kundera, Aaron Asher (Translator), Serena Vitale (translator)",Fiction,True
The Thief of Always,Clive Barker (Goodreads Author),Fantasy,True
The Opal Deception,Eoin Colfer,Fantasy,True
Bridget Jones: The Edge of Reason,Helen Fielding (Goodreads Author),Chick Lit,True
Out Stealing Horses,"Per Petterson, Anne Born (Translator)",Fiction,True
Three Weeks With My Brother,"Nicholas Sparks (Goodreads Author), Micah Sparks",Nonfiction,True
Remy,Katy Evans (Goodreads Author),Romance,True
Lost Souls,Poppy Z. Brite (Goodreads Author),Horror,True
The Club Dumas,"Arturo Pérez-Reverte, Sonia Soto (Translator)",Fiction,True
The Demigod Diaries,"Rick Riordan (Goodreads Author), Haley Riordan (Contributor), Antonio Caparo (Illustrator), Steve James (Illustrator), Joann Hill (Cover Illustrator)",Fantasy,True
Eliza and Her Monsters,Francesca Zappia (Goodreads Author),Contemporary,True
Night Star,Alyson Noel (Goodreads Author),Young Adult,True
The Age of Reason,Jean-Paul Sartre,Philosophy,True
Silk,"Alessandro Baricco, Guido Waldman (Translator )",Fiction,True
The White Dragon,Anne McCaffrey,Fantasy,True
The Time Paradox,Eoin Colfer,Fantasy,True
Maniac Magee,Jerry Spinelli,Young Adult,True
The Siege of Macindaw,John Flanagan,Fantasy,True
Fragile Things: Short Fictions and Wonders,Neil Gaiman (Goodreads Author),Fantasy,True
Crime,Irvine Welsh,Fiction,True
The King's Men,Nora Sakavic (Goodreads Author),LGBT,True
In the Hand of the Goddess,Tamora Pierce (Goodreads Author),Fantasy,True
Saving CeeCee Honeycutt,"Beth Hoffman (Goodreads Author), Jenna Lamia (Narrator)",Fiction,True
Motherless Brooklyn,Jonathan Lethem,Fiction,True
Monument 14,Emmy Laybourne (Goodreads Author),Young Adult,True
1Q84,"Haruki Murakami, 村上 春樹",Fiction,True
Mystery Man,Kristen Ashley (Goodreads Author),Romance,True
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,Nonfiction,True
Love & Misadventure,Lang Leav (Goodreads Author),Poetry,True
Plainsong,Kent Haruf,Fiction,True
The Outlaw Demon Wails,Kim Harrison (Goodreads Author),Urban Fantasy,True
Twisted Perfection,Abbi Glines (Goodreads Author),New Adult,True
La ciudad y los perros,Mario Vargas Llosa,Fiction,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown (Goodreads Author),Nonfiction,True
Hunting and Gathering,"Anna Gavalda, Alison Anderson (Goodreads Author) (Translator)",Fiction,True
The Orange Girl,"Jostein Gaarder, James Anderson (Translator)",Fiction,True
Darkest Hour,"Jenny Carroll, Meg Cabot (Goodreads Author)",Young Adult,True
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,Fiction,True
A Hat Full of Sky,Terry Pratchett,Fantasy,True
Vampire Kisses: The Beginning,Ellen Schreiber,Vampires,True
Six Days of the Condor,James Grady (Goodreads Author),Thriller,True
Soul of the Fire,Terry Goodkind,Fantasy,True
The Long Winter,"Laura Ingalls Wilder, Garth Williams (Illustrator)",Historical Fiction,True
The Twilight Saga,"Stephenie Meyer, Ilyana Kadushin (Narrator), Karsten Kredel (Translator), Sylke Hachmeister (Translator), Matt Walters (Goodreads Author) (Narrator)",Fantasy,True
The Glass Lake,Maeve Binchy,Fiction,True
Holy Bible: The New King James Version,Anonymous,Religion,True
Ninth Key,"Jenny Carroll, Meg Cabot (Goodreads Author)",Young Adult,True
Sugar Daddy,Lisa Kleypas (Goodreads Author),Romance,True
A Song of Ice and Fire,George R.R. Martin,Fantasy,True
The Blind Owl,"Sadegh Hedayat, D.P. Costello (Translator)",Fiction,True
The Humans,Matt Haig (Goodreads Author),Science Fiction,True
Matterhorn,Karl Marlantes,Fiction,True
Awake at Dawn,C.C. Hunter (Goodreads Author),Young Adult,True
The Twilight Saga Complete Collection,Stephenie Meyer,Fantasy,True
Awoken,Timothy Miller (Goodreads Author),Fantasy,True
Meeting With Christ and Other Poems,Deepak Chaswal (Goodreads Author),Poetry,True
Letters From Your Soul,Victor Noble (Goodreads Author),Spirituality,True
The Fall of the Phoenix,Daniel Kelly (Goodreads Author),Epic,True
Dr. Seuss's ABC,Dr. Seuss,Childrens,True
Unleash the Night,Sherrilyn Kenyon (Goodreads Author),Paranormal Romance,True
The Rising,C.M. Meridian (Goodreads Author),Werewolves,True
Where I'm Calling From: New and Selected Stories,Raymond Carver,Short Stories,True
Dealing with Dragons,"Patricia C. Wrede (Goodreads Author), Peter de Sève (Illustrator)",Fantasy,True
Brooklyn,Colm Tóibín,Fiction,True
"Yours Truly, Taddy",Avery Aster (Goodreads Author),Romance,True
The Rings of Saturn,"W.G. Sebald, Michael Hulse (Translator)",Fiction,True
The Confessions of Nat Turner,William Styron,Fiction,True
The Arrival,Shaun Tan,Graphic Novels,True
Zeno's Conscience,"Italo Svevo, William Weaver (Translator)",Fiction,True
Deep World Fire,C.M. Meridian (Goodreads Author),Fantasy,True
Consequences,Aleatha Romig (Goodreads Author),Dark,True
A Thousand Pieces of You,Claudia Gray (Goodreads Author),Young Adult,True
Baltasar and Blimunda,"José Saramago, Giovanni Pontiero (Translator)",Fiction,True
The Queen's Fool,Philippa Gregory (Goodreads Author),Historical Fiction,True
Me and Earl and the Dying Girl,Jesse Andrews (Goodreads Author),Young Adult,True
The Secret of the Old Clock,"Carolyn Keene, Russell H. Tandy (Illustrator), Sara Paretsky (Goodreads Author) (Introduction)",Mystery,True
Terrier,Tamora Pierce (Goodreads Author),Fantasy,True
The Gamble,Kristen Ashley (Goodreads Author),Romance,True
The Recruit,Robert Muchamore,Young Adult,True
Hometown Girl After All,Kirsten Fullmer (Goodreads Author),Young Adult,True
Rot & Ruin,Jonathan Maberry (Goodreads Author),Zombies,True
Thr3e,Ted Dekker (Goodreads Author),Fiction,True
The Circle,Dave Eggers,Fiction,True
The Farthest Shore,Ursula K. Le Guin,Fantasy,True
The Taking of Peggy Martin,Karen Glista,Thriller,True
Brief Lives,"Neil Gaiman (Goodreads Author), Jill Thompson (Illustrator), Vince Locke (Illustrator), Peter Straub (Goodreads Author) (Introduction)",Graphic Novels,True
The Steward,Christopher Shields (Goodreads Author),Fantasy,True
Winter Garden,Kristin Hannah (Goodreads Author),Historical Fiction,True
Samarkand,"Amin Maalouf (Goodreads Author), Russell Harris (Translator)",Fiction,True
Resilience: Adapt and Plan for the New Abnormal of the Covid-19 Coronavirus Pandemic,Gleb Tsipursky (Goodreads Author),Psychology,True
Abandon,Meg Cabot (Goodreads Author),Young Adult,True
Heart of a Warrior Angel,Lali A. Love (Goodreads Author),Book Club,True
The Golden Bowl,"Henry James, Gore Vidal (Introduction), Patricia Crick (Notes)",Classics,True
Invisible,Paul Auster,Fiction,True
Homo Faber,Max Frisch,Classics,True
Lady Knight,Tamora Pierce (Goodreads Author),Fantasy,True
Gone for Good,Harlan Coben (Goodreads Author),Mystery,True
The Memoirs of Cleopatra,Margaret George (Goodreads Author),Historical Fiction,True
What the Wind Knows,Amy Harmon (Goodreads Author),Historical Fiction,True
The Basketball Diaries,Jim Carroll,Nonfiction,True
Fire and Ice,Erin Hunter,Fantasy,True
Summer of the Monkeys,Wilson Rawls,Fiction,True
A Touch of Dead,Charlaine Harris (Goodreads Author),Vampires,True
A Soldier of the Great War,Mark Helprin,Fiction,True
The Siren,Tiffany Reisz (Goodreads Author),BDSM,True
The Magician's Apprentice,Trudi Canavan,Fantasy,True
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh (Goodreads Author),Humor,True
SSN Seadragon: The Crucible of Leviathan,J.P. Ronald (Goodreads Author),Contemporary,True
Song of Susannah,"Stephen King (Goodreads Author), Darrel Anderson (Illustrations)",Fantasy,True
Frisk,Dennis Cooper,Fiction,True
The Sex Lives of Siamese Twins,Irvine Welsh,Fiction,True
Prep,Curtis Sittenfeld (Goodreads Author),Fiction,True
Sold,Patricia McCormick,Young Adult,True
Life and Fate,"Vasily Grossman, Robert Chandler (Goodreads Author) (Translator, Introduction)",Fiction,True
The Dark and Hollow Places,Carrie Ryan (Goodreads Author),Young Adult,True
Stepbrother Dearest,Penelope Ward (Goodreads Author),Romance,True
We Should All Be Feminists,Chimamanda Ngozi Adichie,Nonfiction,True
Visions,Lauren Klever,Fantasy,True
Before They Are Hanged,Joe Abercrombie,Fantasy,True
Letters to a Young Poet,"Rainer Maria Rilke, Reginald Snell (Translator), Franz Xaver Kappus (Introduction)",Poetry,True
Edenbrooke,Julianne Donaldson (Goodreads Author),Romance,True
A Raisin in the Sun,Lorraine Hansberry,Plays,True
Hometown Girl Forever,Kirsten Fullmer (Goodreads Author),Young Adult,True
Echo,J.K. Accinni,Science Fiction,True
Desperation,Stephen King (Goodreads Author),Horror,True
Small Great Things,Jodi Picoult (Goodreads Author),Fiction,True
The Dragon Heir,Cinda Williams Chima (Goodreads Author),Fantasy,True
Defiance,C.J. Redwine (Goodreads Author),Fantasy,True
"Dark Guardian (Dark Guardian, #1)",Ammar Habib (Goodreads Author),Thriller,True
Nick & Norah's Infinite Playlist,"Rachel Cohn, David Levithan (Goodreads Author)",Young Adult,True
Little Brother,Cory Doctorow,Young Adult,True
Providence,"Jamie McGuire (Goodreads Author), Frauke Meier (Translator)",Paranormal,True
"Conversations with God: An Uncommon Dialogue, Book 1",Neale Donald Walsch,Spirituality,True
The Autobiography of Benjamin Franklin,"Benjamin Franklin, Lewis Gaston Leary (Introduction)",Biography,True
My Family and Other Animals,Gerald Durrell,Nonfiction,True
My Cousin Rachel,Daphne du Maurier,Classics,True
Barely Breathing,Rebecca Donovan (Goodreads Author),Romance,True
The Case for Christ,Lee Strobel,Christian,True
Betrayal In Black,Mark M. Bello (Goodreads Author),Novels,True
The Jewel in the Crown,Paul Scott,Historical Fiction,True
Portrait in Sepia,"Isabel Allende (Goodreads Author), Margaret Sayers Peden (Translator)",Fiction,True
Sandry's Book,Tamora Pierce (Goodreads Author),Fantasy,True
On Liberty,John Stuart Mill,Philosophy,True
The Gray House,"Mariam Petrosyan, Yuri Machkasov (Goodreads Author) (Translator)",Fantasy,True
The Fairy-Tale Detectives,"Michael Buckley, Peter Ferguson (Illustrator)",Fantasy,True
The Yearling,Marjorie Kinnan Rawlings,Classics,True
Freak the Mighty,Rodman Philbrick,Young Adult,True
The Emperor of Nihon-Ja,John Flanagan,Fantasy,True
