title,author,genres,available
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",Classics,True
Angela's Ashes,Frank McCourt,Nonfiction,True
Vampire Academy,Richelle Mead (Goodreads Author),Young Adult,True
Siddhartha,"Hermann Hesse, Hilda Rosner (Translator)",Classics,True
The Poisonwood Bible,Barbara Kingsolver,Fiction,True
The Golden Compass,Philip Pullman,Fantasy,True
Don Quixote,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)",Classics,True
Atlas Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",Classics,True
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré (Illustrator)",Fantasy,True
The Old Man and the Sea,Ernest Hemingway,Classics,True
The Notebook,Nicholas Sparks (Goodreads Author),Romance,True
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",Classics,True
The Complete Stories and Poems,Edgar Allan Poe,Classics,True
Interview with the Vampire,Anne Rice,Horror,True
A Prayer for Owen Meany,John Irving (Goodreads Author),Fiction,True
"Moby-Dick or, the Whale","Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",Classics,True
The Red Tent,Anita Diamant (Goodreads Author),Historical Fiction,True
The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),Fiction,True
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",Fantasy,True
Clockwork Angel,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",Fantasy,True
Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,True
And Then There Were None,Agatha Christie,Mystery,True
Middlesex,Jeffrey Eugenides,Fiction,True
The Stranger,"Albert Camus, Matthew Ward (Translator)",Classics,True
The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor (Translator), Ellendea Proffer (Annotations and Afterword), Diana Lewis Burgin (Translator)",Classics,True
The Name of the Wind,Patrick Rothfuss (Goodreads Author),Fantasy,True
The Shining,Stephen King (Goodreads Author),Horror,True
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell (Annotations), John Seelye (Introduction)",Classics,True
Eragon,Christopher Paolini (Goodreads Author),Fantasy,True
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake (Illustrations)",Childrens,True
Flowers for Algernon,Daniel Keyes,Fiction,True
On the Road,Jack Kerouac,Classics,True
The Metamorphosis,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",Classics,True
Looking for Alaska,John Green (Goodreads Author),Young Adult,True
The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves (Translator)",Fiction,True
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,True
The Very Hungry Caterpillar,Eric Carle,Picture Books,True
Tuesdays with Morrie,Mitch Albom (Goodreads Author),Nonfiction,True
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim (Translator)",Fiction,True
The Name of the Rose,"Umberto Eco, William Weaver (Translator)",Fiction,True
Where the Red Fern Grows,Wilson Rawls,Classics,True
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)",Fantasy,True
The Godfather,"Mario Puzo, Robert Thompson (Introduction), Peter Bart (Afterword)",Fiction,True
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym (Introduction)",Classics,True
In Cold Blood,Truman Capote,Nonfiction,True
Fight Club,Chuck Palahniuk (Goodreads Author),Fiction,True
The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),Fiction,True
"Hush, Hush",Becca Fitzpatrick (Goodreads Author),Young Adult,True
The Cat in the Hat,Dr. Seuss,Childrens,True
American Gods,Neil Gaiman (Goodreads Author),Fantasy,True
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss (Translator)",Classics,True
Lonesome Dove,Larry McMurtry,Fiction,True
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)",Fiction,True
Holes,Louis Sachar (Goodreads Author),Young Adult,True
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,True
Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",Graphic Novels,True
It,Stephen King (Goodreads Author),Horror,True
The Last Olympian,Rick Riordan (Goodreads Author),Fantasy,True
The Little House Collection,"Laura Ingalls Wilder, Garth Williams (Illustrator)",Classics,True
The Divine Comedy,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)",Classics,True
Peter Pan,"J.M. Barrie, Michael Hague (Illustrator)",Classics,True
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)",Classics,True
"The Hobbit, or There and Back Again",J.R.R. Tolkien,Fantasy,True
The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)",Plays,True
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman (Translator)",Fiction,True
Shadow Kiss,Richelle Mead (Goodreads Author),Young Adult,True
Insurgent,Veronica Roth (Goodreads Author),Young Adult,True
The Thorn Birds,Colleen McCullough,Fiction,True
A Walk to Remember,Nicholas Sparks (Goodreads Author),Romance,True
How the Grinch Stole Christmas!,Dr. Seuss,Childrens,True
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,True
Atonement,Ian McEwan,Fiction,True
The Importance of Being Earnest,Oscar Wilde,Classics,True
"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),Nonfiction,True
Their Eyes Were Watching God,Zora Neale Hurston,Classics,True
The Three Musketeers,Alexandre Dumas,Classics,True
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)",Classics,True
Frostbite,Richelle Mead (Goodreads Author),Young Adult,True
Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)",Childrens,True
The Lorax,Dr. Seuss,Childrens,True
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman (Goodreads Author)",Fantasy,True
Blood Promise,Richelle Mead (Goodreads Author),Young Adult,True
Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)",Classics,True
The Good Earth,Pearl S. Buck,Classics,True
Heart of Darkness,"Joseph Conrad, Aníbal Fernandes (Translator)",Classics,True
The Battle of the Labyrinth,Rick Riordan (Goodreads Author),Fantasy,True
A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)",Classics,True
Clockwork Princess,Cassandra Clare (Goodreads Author),Fantasy,True
The Prophet,Kahlil Gibran,Poetry,True
The Mists of Avalon,Marion Zimmer Bradley,Fantasy,True
The Titan's Curse,Rick Riordan (Goodreads Author),Fantasy,True
The Sea of Monsters,Rick Riordan (Goodreads Author),Fantasy,True
The Joy Luck Club,Amy Tan (Goodreads Author),Fiction,True
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",Classics,True
The Call of the Wild,"Jack London, Avi (Introduction)",Classics,True
Jonathan Livingston Seagull,"Richard Bach (Goodreads Author), Russell Munson (Photographer)",Fiction,True
Madame Bovary,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)",Classics,True
The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)",Fantasy,True
Bridge to Terabithia,Katherine Paterson,Young Adult,True
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)",Young Adult,True
"Oh, the Places You'll Go!",Dr. Seuss,Childrens,True
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)",Fiction,True
The Maze Runner,James Dashner (Goodreads Author),Young Adult,True
The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",Fantasy,True
Oliver Twist,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)",Classics,True
Ulysses,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)",Classics,True
Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",Classics,True
Fifty Shades of Grey,E.L. James (Goodreads Author),Romance,True
The Clan of the Cave Bear,Jean M. Auel,Historical Fiction,True
A Storm of Swords,George R.R. Martin,Fantasy,True
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)",Classics,True
The World According to Garp,John Irving (Goodreads Author),Fiction,True
A Farewell to Arms,Ernest Hemingway,Classics,True
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",Classics,True
Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)",Young Adult,True
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)",Fantasy,True
Shōgun,James Clavell,Historical Fiction,True
Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),Fiction,True
Murder on the Orient Express,Agatha Christie,Mystery,True
His Dark Materials,Philip Pullman,Fantasy,True
A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",Classics,True
The Other Boleyn Girl,Philippa Gregory (Goodreads Author),Historical Fiction,True
Schindler's List,Thomas Keneally,History,True
The Boy in the Striped Pajamas,John Boyne,Historical Fiction,True
Jurassic Park,Michael Crichton,Science Fiction,True
Last Sacrifice,Richelle Mead (Goodreads Author),Young Adult,True
